,,,,,,,ABS [?..?],ABS [?..?],ABS [?..?],ABS [?..?],ABS [?..?],ABS [?..?],ABS [?..?],abs glat,abs glat,abs glat,abs glat,abs glat,abs glat,abs glat,abs glong,abs glong,abs glong,abs glong,abs glong,abs glong,abs glong,abs ROTY ,abs ROTY ,abs ROTY ,abs ROTY ,abs ROTY ,abs ROTY ,abs ROTY ,abs Steerangle,abs Steerangle,abs Steerangle,abs Steerangle,abs Steerangle,abs Steerangle,abs Steerangle,BRAKE [%],BRAKE [%],BRAKE [%],BRAKE [%],BRAKE [%],BRAKE [%],BRAKE [%],BRAKE_TEMP_LF [°C],BRAKE_TEMP_LF [°C],BRAKE_TEMP_LF [°C],BRAKE_TEMP_LF [°C],BRAKE_TEMP_LF [°C],BRAKE_TEMP_LF [°C],BRAKE_TEMP_LF [°C],BRAKE_TEMP_LR [°C],BRAKE_TEMP_LR [°C],BRAKE_TEMP_LR [°C],BRAKE_TEMP_LR [°C],BRAKE_TEMP_LR [°C],BRAKE_TEMP_LR [°C],BRAKE_TEMP_LR [°C],BRAKE_TEMP_RF [°C],BRAKE_TEMP_RF [°C],BRAKE_TEMP_RF [°C],BRAKE_TEMP_RF [°C],BRAKE_TEMP_RF [°C],BRAKE_TEMP_RF [°C],BRAKE_TEMP_RF [°C],BRAKE_TEMP_RR [°C],BRAKE_TEMP_RR [°C],BRAKE_TEMP_RR [°C],BRAKE_TEMP_RR [°C],BRAKE_TEMP_RR [°C],BRAKE_TEMP_RR [°C],BRAKE_TEMP_RR [°C],BUMPSTOP_FORCE_LF [?..?],BUMPSTOP_FORCE_LF [?..?],BUMPSTOP_FORCE_LF [?..?],BUMPSTOP_FORCE_LF [?..?],BUMPSTOP_FORCE_LF [?..?],BUMPSTOP_FORCE_LF [?..?],BUMPSTOP_FORCE_LF [?..?],BUMPSTOP_FORCE_LR [?..?],BUMPSTOP_FORCE_LR [?..?],BUMPSTOP_FORCE_LR [?..?],BUMPSTOP_FORCE_LR [?..?],BUMPSTOP_FORCE_LR [?..?],BUMPSTOP_FORCE_LR [?..?],BUMPSTOP_FORCE_LR [?..?],BUMPSTOP_FORCE_RF [?..?],BUMPSTOP_FORCE_RF [?..?],BUMPSTOP_FORCE_RF [?..?],BUMPSTOP_FORCE_RF [?..?],BUMPSTOP_FORCE_RF [?..?],BUMPSTOP_FORCE_RF [?..?],BUMPSTOP_FORCE_RF [?..?],BUMPSTOP_FORCE_RR [?..?],BUMPSTOP_FORCE_RR [?..?],BUMPSTOP_FORCE_RR [?..?],BUMPSTOP_FORCE_RR [?..?],BUMPSTOP_FORCE_RR [?..?],BUMPSTOP_FORCE_RR [?..?],BUMPSTOP_FORCE_RR [?..?],BUMPSTOPDN_RIDE_LF [?..?],BUMPSTOPDN_RIDE_LF [?..?],BUMPSTOPDN_RIDE_LF [?..?],BUMPSTOPDN_RIDE_LF [?..?],BUMPSTOPDN_RIDE_LF [?..?],BUMPSTOPDN_RIDE_LF [?..?],BUMPSTOPDN_RIDE_LF [?..?],BUMPSTOPDN_RIDE_LR [?..?],BUMPSTOPDN_RIDE_LR [?..?],BUMPSTOPDN_RIDE_LR [?..?],BUMPSTOPDN_RIDE_LR [?..?],BUMPSTOPDN_RIDE_LR [?..?],BUMPSTOPDN_RIDE_LR [?..?],BUMPSTOPDN_RIDE_LR [?..?],BUMPSTOPDN_RIDE_RF [?..?],BUMPSTOPDN_RIDE_RF [?..?],BUMPSTOPDN_RIDE_RF [?..?],BUMPSTOPDN_RIDE_RF [?..?],BUMPSTOPDN_RIDE_RF [?..?],BUMPSTOPDN_RIDE_RF [?..?],BUMPSTOPDN_RIDE_RF [?..?],BUMPSTOPDN_RIDE_RR [?..?],BUMPSTOPDN_RIDE_RR [?..?],BUMPSTOPDN_RIDE_RR [?..?],BUMPSTOPDN_RIDE_RR [?..?],BUMPSTOPDN_RIDE_RR [?..?],BUMPSTOPDN_RIDE_RR [?..?],BUMPSTOPDN_RIDE_RR [?..?],BUMPSTOPUP_RIDE_LF [?..?],BUMPSTOPUP_RIDE_LF [?..?],BUMPSTOPUP_RIDE_LF [?..?],BUMPSTOPUP_RIDE_LF [?..?],BUMPSTOPUP_RIDE_LF [?..?],BUMPSTOPUP_RIDE_LF [?..?],BUMPSTOPUP_RIDE_LF [?..?],BUMPSTOPUP_RIDE_LR [?..?],BUMPSTOPUP_RIDE_LR [?..?],BUMPSTOPUP_RIDE_LR [?..?],BUMPSTOPUP_RIDE_LR [?..?],BUMPSTOPUP_RIDE_LR [?..?],BUMPSTOPUP_RIDE_LR [?..?],BUMPSTOPUP_RIDE_LR [?..?],BUMPSTOPUP_RIDE_RF [?..?],BUMPSTOPUP_RIDE_RF [?..?],BUMPSTOPUP_RIDE_RF [?..?],BUMPSTOPUP_RIDE_RF [?..?],BUMPSTOPUP_RIDE_RF [?..?],BUMPSTOPUP_RIDE_RF [?..?],BUMPSTOPUP_RIDE_RF [?..?],BUMPSTOPUP_RIDE_RR [?..?],BUMPSTOPUP_RIDE_RR [?..?],BUMPSTOPUP_RIDE_RR [?..?],BUMPSTOPUP_RIDE_RR [?..?],BUMPSTOPUP_RIDE_RR [?..?],BUMPSTOPUP_RIDE_RR [?..?],BUMPSTOPUP_RIDE_RR [?..?],Calc Lap Time [s],Calc Lap Time [s],Calc Lap Time [s],Calc Lap Time [s],Calc Lap Time [s],Calc Lap Time [s],Calc Lap Time [s],Calc Outing Time [s],Calc Outing Time [s],Calc Outing Time [s],Calc Outing Time [s],Calc Outing Time [s],Calc Outing Time [s],Calc Outing Time [s],CLUTCH [%],CLUTCH [%],CLUTCH [%],CLUTCH [%],CLUTCH [%],CLUTCH [%],CLUTCH [%],Corr Dist [m],Corr Dist [m],Corr Dist [m],Corr Dist [m],Corr Dist [m],Corr Dist [m],Corr Dist [m],Corr Lap Dist [m],Corr Lap Dist [m],Corr Lap Dist [m],Corr Lap Dist [m],Corr Lap Dist [m],Corr Lap Dist [m],Corr Lap Dist [m],Corr Speed [km/h],Corr Speed [km/h],Corr Speed [km/h],Corr Speed [km/h],Corr Speed [km/h],Corr Speed [km/h],Corr Speed [km/h],Damper Vel FL [mm/s],Damper Vel FL [mm/s],Damper Vel FL [mm/s],Damper Vel FL [mm/s],Damper Vel FL [mm/s],Damper Vel FL [mm/s],Damper Vel FL [mm/s],Damper Vel FR [mm/s],Damper Vel FR [mm/s],Damper Vel FR [mm/s],Damper Vel FR [mm/s],Damper Vel FR [mm/s],Damper Vel FR [mm/s],Damper Vel FR [mm/s],Damper Vel RL [mm/s],Damper Vel RL [mm/s],Damper Vel RL [mm/s],Damper Vel RL [mm/s],Damper Vel RL [mm/s],Damper Vel RL [mm/s],Damper Vel RL [mm/s],Damper Vel RR [mm/s],Damper Vel RR [mm/s],Damper Vel RR [mm/s],Damper Vel RR [mm/s],Damper Vel RR [mm/s],Damper Vel RR [mm/s],Damper Vel RR [mm/s],G_LAT [?m/s2?],G_LAT [?m/s2?],G_LAT [?m/s2?],G_LAT [?m/s2?],G_LAT [?m/s2?],G_LAT [?m/s2?],G_LAT [?m/s2?],G_LON [?m/s2?],G_LON [?m/s2?],G_LON [?m/s2?],G_LON [?m/s2?],G_LON [?m/s2?],G_LON [?m/s2?],G_LON [?m/s2?],GEAR [?no?],GEAR [?no?],GEAR [?no?],GEAR [?no?],GEAR [?no?],GEAR [?no?],GEAR [?no?],glat [G],glat [G],glat [G],glat [G],glat [G],glat [G],glat [G],glong [G],glong [G],glong [G],glong [G],glong [G],glong [G],glong [G],is1st,is1st,is1st,is1st,is1st,is1st,is1st,is2nd,is2nd,is2nd,is2nd,is2nd,is2nd,is2nd,is2ndWOT,is2ndWOT,is2ndWOT,is2ndWOT,is2ndWOT,is2ndWOT,is2ndWOT,is3rd,is3rd,is3rd,is3rd,is3rd,is3rd,is3rd,is3rdWOT,is3rdWOT,is3rdWOT,is3rdWOT,is3rdWOT,is3rdWOT,is3rdWOT,is4th,is4th,is4th,is4th,is4th,is4th,is4th,is5th,is5th,is5th,is5th,is5th,is5th,is5th,is6th,is6th,is6th,is6th,is6th,is6th,is6th,isWOT,isWOT,isWOT,isWOT,isWOT,isWOT,isWOT,lane deviation,lane deviation,lane deviation,lane deviation,lane deviation,lane deviation,lane deviation,LAP_BEACON [?..?],LAP_BEACON [?..?],LAP_BEACON [?..?],LAP_BEACON [?..?],LAP_BEACON [?..?],LAP_BEACON [?..?],LAP_BEACON [?..?],Oversteer [°],Oversteer [°],Oversteer [°],Oversteer [°],Oversteer [°],Oversteer [°],Oversteer [°],ROTY [°/s],ROTY [°/s],ROTY [°/s],ROTY [°/s],ROTY [°/s],ROTY [°/s],ROTY [°/s],RPMS [1/min],RPMS [1/min],RPMS [1/min],RPMS [1/min],RPMS [1/min],RPMS [1/min],RPMS [1/min],SPEED [km/h],SPEED [km/h],SPEED [km/h],SPEED [km/h],SPEED [km/h],SPEED [km/h],SPEED [km/h],STEERANGLE [°],STEERANGLE [°],STEERANGLE [°],STEERANGLE [°],STEERANGLE [°],STEERANGLE [°],STEERANGLE [°],steered angle [rad],steered angle [rad],steered angle [rad],steered angle [rad],steered angle [rad],steered angle [rad],steered angle [rad],SUS_TRAVEL_LF [mm],SUS_TRAVEL_LF [mm],SUS_TRAVEL_LF [mm],SUS_TRAVEL_LF [mm],SUS_TRAVEL_LF [mm],SUS_TRAVEL_LF [mm],SUS_TRAVEL_LF [mm],SUS_TRAVEL_LR [mm],SUS_TRAVEL_LR [mm],SUS_TRAVEL_LR [mm],SUS_TRAVEL_LR [mm],SUS_TRAVEL_LR [mm],SUS_TRAVEL_LR [mm],SUS_TRAVEL_LR [mm],SUS_TRAVEL_RF [mm],SUS_TRAVEL_RF [mm],SUS_TRAVEL_RF [mm],SUS_TRAVEL_RF [mm],SUS_TRAVEL_RF [mm],SUS_TRAVEL_RF [mm],SUS_TRAVEL_RF [mm],SUS_TRAVEL_RR [mm],SUS_TRAVEL_RR [mm],SUS_TRAVEL_RR [mm],SUS_TRAVEL_RR [mm],SUS_TRAVEL_RR [mm],SUS_TRAVEL_RR [mm],SUS_TRAVEL_RR [mm],TC [?..?],TC [?..?],TC [?..?],TC [?..?],TC [?..?],TC [?..?],TC [?..?],THROTTLE [%],THROTTLE [%],THROTTLE [%],THROTTLE [%],THROTTLE [%],THROTTLE [%],THROTTLE [%],TYRE_PRESS_LF [?..?],TYRE_PRESS_LF [?..?],TYRE_PRESS_LF [?..?],TYRE_PRESS_LF [?..?],TYRE_PRESS_LF [?..?],TYRE_PRESS_LF [?..?],TYRE_PRESS_LF [?..?],TYRE_PRESS_LR [?..?],TYRE_PRESS_LR [?..?],TYRE_PRESS_LR [?..?],TYRE_PRESS_LR [?..?],TYRE_PRESS_LR [?..?],TYRE_PRESS_LR [?..?],TYRE_PRESS_LR [?..?],TYRE_PRESS_RF [?..?],TYRE_PRESS_RF [?..?],TYRE_PRESS_RF [?..?],TYRE_PRESS_RF [?..?],TYRE_PRESS_RF [?..?],TYRE_PRESS_RF [?..?],TYRE_PRESS_RF [?..?],TYRE_PRESS_RR [?..?],TYRE_PRESS_RR [?..?],TYRE_PRESS_RR [?..?],TYRE_PRESS_RR [?..?],TYRE_PRESS_RR [?..?],TYRE_PRESS_RR [?..?],TYRE_PRESS_RR [?..?],TYRE_TAIR_LF [°C],TYRE_TAIR_LF [°C],TYRE_TAIR_LF [°C],TYRE_TAIR_LF [°C],TYRE_TAIR_LF [°C],TYRE_TAIR_LF [°C],TYRE_TAIR_LF [°C],TYRE_TAIR_LR [°C],TYRE_TAIR_LR [°C],TYRE_TAIR_LR [°C],TYRE_TAIR_LR [°C],TYRE_TAIR_LR [°C],TYRE_TAIR_LR [°C],TYRE_TAIR_LR [°C],TYRE_TAIR_RF [°C],TYRE_TAIR_RF [°C],TYRE_TAIR_RF [°C],TYRE_TAIR_RF [°C],TYRE_TAIR_RF [°C],TYRE_TAIR_RF [°C],TYRE_TAIR_RF [°C],TYRE_TAIR_RR [°C],TYRE_TAIR_RR [°C],TYRE_TAIR_RR [°C],TYRE_TAIR_RR [°C],TYRE_TAIR_RR [°C],TYRE_TAIR_RR [°C],TYRE_TAIR_RR [°C],WHEEL_SPEED_LF [m/s],WHEEL_SPEED_LF [m/s],WHEEL_SPEED_LF [m/s],WHEEL_SPEED_LF [m/s],WHEEL_SPEED_LF [m/s],WHEEL_SPEED_LF [m/s],WHEEL_SPEED_LF [m/s],WHEEL_SPEED_LR [m/s],WHEEL_SPEED_LR [m/s],WHEEL_SPEED_LR [m/s],WHEEL_SPEED_LR [m/s],WHEEL_SPEED_LR [m/s],WHEEL_SPEED_LR [m/s],WHEEL_SPEED_LR [m/s],WHEEL_SPEED_RF [m/s],WHEEL_SPEED_RF [m/s],WHEEL_SPEED_RF [m/s],WHEEL_SPEED_RF [m/s],WHEEL_SPEED_RF [m/s],WHEEL_SPEED_RF [m/s],WHEEL_SPEED_RF [m/s],WHEEL_SPEED_RR [m/s],WHEEL_SPEED_RR [m/s],WHEEL_SPEED_RR [m/s],WHEEL_SPEED_RR [m/s],WHEEL_SPEED_RR [m/s],WHEEL_SPEED_RR [m/s],WHEEL_SPEED_RR [m/s],steering reversal rate per lap,steering reversal rate per lap,steering reversal rate per lap,steering reversal rate per lap,steering reversal rate per lap,steering reversal rate per lap,steering reversal rate per lap,steering reversal rate per sector,steering reversal rate per sector,steering reversal rate per sector,steering reversal rate per sector,steering reversal rate per sector,steering reversal rate per sector,steering reversal rate per sector,understeer,understeer,understeer,understeer,understeer,understeer,understeer
,,,,,,,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev,Min,Max,Avg,Start,End,Change,Std Dev
"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","24/08/2023, ",,Out Lap,66.857,,0,0,0,0,0,0,0,0.00,0.20,0.01,0.00,0.01,0.01,0.03,0.00,0.82,0.02,0.00,0.00,0.00,0.09,0.00,14.97,0.73,0.00,0.22,0.22,2.58,-0.00,127.75,6.96,-0.00,0.64,0.64,23.60,0,100,68,100,0,-100,46,27,27,27,27,27,0,0,27,27,27,27,27,0,0,27,27,27,27,27,0,0,27,27,27,27,27,0,0,-5632,3118,0,0,0,0,79,0,2694,7,0,0,0,116,-5632,3104,-0,0,0,0,83,0,2688,7,0,0,0,115,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,66.856,33.428,0.000,0.000,0.000,19.300,0.000,66.857,33.428,0.000,66.857,66.857,19.300,0,100,89,100,0,-100,29,0,102,6,0,102,102,19,0,102,6,0,59,59,19,0.0,49.6,5.5,0.0,49.4,49.4,14.3,-833.0,808.8,0.0,,1.2,,27.6,-833.7,849.5,0.0,,1.3,,28.6,-1126.8,1167.9,0.0,,-0.3,,43.2,-1125.7,1100.5,0.0,,-0.4,,40.9,-0.20,0.18,0.01,0.00,0.01,0.01,0.03,-0,1,0,0,0,0,0,0,1,0,0,1,1,0,-0.20,0.18,0.01,0.00,0.01,0.01,0.03,-0.44,0.82,0.02,0.00,0.00,-0.00,0.09,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1.00,0.08,0.00,1.00,1.00,0.26,0.00,0.00,0.00,,0.00,,0.00,0,0,0,0,0,0,0,0.00,0.00,0.00,,0.00,,0.00,-0.91,14.97,0.71,0.00,0.22,0.22,2.58,0,3657,667,0,3212,3212,1127,0.0,49.6,5.5,0.0,49.4,49.4,14.3,-4,128,7,-0,1,1,24,-0.01,0.20,0.01,0.00,0.00,0.00,0.04,-15,63,8,8,8,0,1,-11,52,9,9,10,1,2,-15,63,8,8,8,0,1,-11,49,9,9,10,1,2,0,1,0,0,0,0,0,0,100,14,0,100,100,32,26,26,26,26,26,-0,0,25,25,25,25,25,-0,0,26,26,26,26,26,-0,0,25,25,25,25,25,-0,0,69,70,70,70,69,-1,0,69,70,70,70,69,-1,0,69,70,70,70,69,-1,0,69,70,70,70,69,-1,0,-0,14,2,0,14,14,4,-1,14,2,0,14,14,4,-0,14,2,0,14,14,4,-1,14,2,0,14,14,4,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,,0.00,,0.00
"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","24/08/2023, ",,Lap 1,104.137,Turn 1,0,1,0,1,0,-1,0,0.29,1.15,0.78,0.84,0.29,-0.55,0.20,0.01,0.78,0.33,0.26,0.60,0.34,0.23,4.62,45.09,27.83,29.02,4.62,-24.41,11.50,9.74,155.98,88.88,93.86,9.74,-84.12,45.22,0,16,1,10,0,-10,4,110,119,115,116,110,-6,2,62,65,64,64,62,-2,1,111,120,116,117,111,-6,2,62,65,64,64,62,-1,1,0,951,302,826,122,-704,188,0,259,15,0,0,0,46,-923,0,-171,-375,0,375,210,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-1,0,0,0,0,0,0,0,0,17.126,22.728,19.927,17.126,22.728,5.602,1.617,83.983,89.585,86.784,83.983,89.585,5.602,1.617,0,0,0,0,0,0,0,537,637,580,537,637,100,28,436,535,479,436,535,100,28,47.7,103.9,63.6,55.6,103.9,48.3,17.0,-95.3,118.7,0.9,-57.3,-3.2,54.2,26.0,-153.7,122.3,-2.2,21.7,-16.7,-38.4,39.1,-146.1,117.7,0.9,-12.1,1.7,13.8,33.8,-176.6,161.8,1.9,76.6,-1.5,-78.1,49.5,0.28,1.15,0.78,0.92,0.28,-0.65,0.20,-0,1,0,-0,1,1,0,1,2,1,1,2,1,0,0.29,1.15,0.78,0.84,0.29,-0.55,0.20,-0.39,0.78,0.23,-0.26,0.60,0.85,0.32,0,1,1,1,0,-1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1.00,0.33,0.00,1.00,1.00,0.47,0.00,1.00,0.45,1.00,0.00,-1.00,0.50,0,0,0,0,0,0,0,-4.37,-0.00,-1.89,-3.30,-0.36,2.94,1.55,4.34,45.09,27.83,28.50,4.34,-24.17,11.50,3084,6026,4034,3548,5333,1785,900,47.7,103.9,63.6,55.6,103.9,48.3,17.0,10,156,89,94,10,-84,45,0.02,0.25,0.14,0.15,0.02,-0.13,0.07,-5,4,-0,-4,2,6,2,0,13,6,6,12,6,3,6,23,14,18,6,-13,4,6,25,15,6,16,10,3,0,1,0,0,0,0,0,0,100,52,0,100,100,40,25,25,25,25,25,-0,0,25,25,25,25,25,-0,0,25,26,26,26,25,-0,0,25,25,25,25,25,-0,0,67,68,68,68,67,-1,0,69,69,69,69,69,-0,0,68,68,68,68,68,-0,0,69,69,69,69,69,-0,0,13,29,17,14,29,15,5,13,30,18,15,30,15,5,14,29,18,16,29,13,5,14,30,18,16,30,14,5,0.68,3.20,2.05,0.68,3.20,2.52,0.91,0.02,2.53,1.38,0.03,2.32,2.30,0.91,0.00,4.37,1.89,3.30,0.36,-2.94,1.55
"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","24/08/2023, ",,Lap 1,104.137,Str 1-2,0,0,0,0,0,0,0,0.00,1.52,0.67,0.29,1.39,1.10,0.46,0.00,1.31,0.43,0.60,0.19,-0.41,0.28,0.02,31.68,12.26,4.62,25.43,20.82,9.67,0.04,61.68,21.95,9.74,61.39,51.65,18.07,0,64,9,0,0,0,18,104,165,133,110,159,48,25,60,85,72,62,83,21,10,105,164,134,111,158,46,24,60,85,72,62,83,20,10,-844,132,-235,122,-396,-518,291,0,0,0,0,0,0,0,0,663,119,0,663,663,177,0,766,46,0,37,37,100,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.728,28.557,25.642,22.728,28.557,5.829,1.683,89.585,95.414,92.499,89.585,95.414,5.829,1.683,0,0,0,0,0,0,0,637,834,739,637,834,197,59,535,732,637,535,732,197,59,100.1,146.6,120.1,103.9,100.7,-3.2,14.2,-129.9,121.4,2.9,-3.2,-18.3,-15.2,29.3,-111.2,134.9,-1.5,-16.7,-3.1,13.6,25.9,-133.5,133.5,1.6,1.7,29.2,27.5,36.4,-134.0,150.8,-2.3,-1.5,16.4,17.9,39.4,-1.52,0.28,-0.64,0.28,-1.36,-1.64,0.51,-1,1,0,1,0,-0,1,2,3,2,2,2,0,0,-1.52,0.29,-0.64,0.29,-1.39,-1.68,0.51,-1.31,0.64,0.01,0.60,0.19,-0.41,0.52,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,1.00,0.40,1.00,0.00,-1.00,0.49,0.00,1.00,0.16,0.00,1.00,1.00,0.36,0,0,0,0,0,0,0,-2.93,0.18,-0.96,-0.36,-2.93,-2.57,0.78,-31.68,4.42,-11.76,4.34,-25.88,-30.22,10.30,4984,6677,5566,5333,5124,-209,396,100.1,146.6,120.1,103.9,100.7,-3.1,14.2,-62,10,-21,10,-62,-71,19,-0.10,0.02,-0.03,0.02,-0.10,-0.11,0.03,1,23,14,2,19,17,6,7,22,16,12,21,9,3,-3,10,3,6,-3,-9,3,-3,18,8,16,2,-14,6,0,1,0,0,1,1,0,0,100,48,100,62,-38,46,25,25,25,25,25,-0,0,25,25,25,25,25,-0,0,25,25,25,25,25,-0,0,25,25,25,25,25,0,0,67,67,67,67,67,-0,0,68,69,68,69,68,-0,0,67,68,68,68,67,-0,0,69,69,69,69,69,0,0,28,41,33,29,28,-0,4,28,42,34,30,29,-1,4,27,41,33,29,27,-1,4,27,42,34,30,29,-1,4,3.20,4.13,3.28,3.20,4.13,0.93,0.20,0.00,2.32,0.08,2.32,0.18,-2.14,0.24,0.00,2.93,0.97,0.36,2.93,2.57,0.77
